Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,2.9,2.9,2.7,2.4,2.5,3.1,2.7,2.6,2.5,2.4,2.4,2.4
2007,2.9,2.9,2.8,2.6,2.6,3.3,2.8,2.8,2.6,2.5,2.6,2.8
2008,3.1,3.0,3.0,2.8,3.0,3.8,3.5,3.5,3.0,2.8,3.0,3.7
2009,4.5,4.7,4.8,4.6,4.6,5.7,5.2,5.3,4.5,4.1,4.3,4.7
2010,4.8,4.7,4.6,3.9,4.0,4.7,4.3,4.4,3.8,3.5,3.6,4.0
