Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,0.6,0.1,0.2,0.5,0.3,0.2,0.5,0.4,-0.5,-0.4,0.0,0.5
2007,0.2,0.4,0.5,0.3,0.4,0.2,0.2,0.0,0.4,0.3,0.8,0.3
2008,0.3,0.2,0.4,0.2,0.6,1.0,0.7,-0.1,0.1,-0.9,-1.8,-0.8
2009,0.3,0.4,-0.1,0.1,0.1,0.8,0.0,0.3,0.2,0.3,0.3,0.1
2010,0.1,-0.1,0.0,0.0,-0.1,0.0,0.2,0.1,0.2,0.3,0.3,0.4
